id,degree_all,eigen_all,close_all,between_all,cluster_all,component_all,component_size_all
1946-025,4,4.917269574246072e-4,2.8593486403797216e-5,791.9537273363778,1,1,8522
1946-026,12,0.007621107939637037,3.233734316388565e-5,4328.734623419346,16,1,8522
1946-027,10,0.0023640055670109995,3.0711587481956946e-5,1653.7684755268933,16,1,8522
1946-028,12,0.0028739650679437886,2.9257731355510693e-5,515.0573392116181,15,1,8522
1946-029,5,2.6388712652163505e-4,2.705554503395471e-5,378.5260534123767,8,1,8522
1946-030,8,0.0014393505363025421,2.9755705656559643e-5,1018.8495067295145,1,1,8522
1946-031,10,0.022744708859172902,3.335000833750208e-5,6756.9881123466475,1,1,8522
1946-032,6,2.6673566780853616e-4,2.748611950964763e-5,2204.5797867918986,32,1,8522
1946-033,37,0.06983900572841967,3.5603660056253786e-5,27374.73420729719,5,1,8522
1946-034,4,8.364594525870017e-4,2.9427343887940677e-5,468.08005274411283,49,1,8522
1946-035,17,0.011993965084541858,3.359537727608681e-5,10054.349728183737,1,1,8522
1946-036,5,0.006280262745019386,3.1413941507240916e-5,836.0732521117535,38,1,8522
1946-037,2,0.005327780756792761,3.055207601356513e-5,0,49,1,8522
1946-038,1,5.474020338357601e-5,2.4813280067492124e-5,0,216,1,8522
1946-039,2,1.7209954386447236e-4,2.5542131746315548e-5,48.481205511502694,195,1,8522
1946-040,15,0.005320723051860096,3.215744284014535e-5,18233.095922748744,1,1,8522
1946-041,6,0.002513888769084259,3.0340726356988988e-5,5487.714149851052,123,1,8522
1946-042,1,1,1,0,215,2,2
1946-043,5,2.294661809917474e-4,2.7298536798427603e-5,503.869547450304,123,1,8522
1946-044,1,1.4709227733712321e-5,2.3320351670903197e-5,0,227,1,8522
1946-045,6,0.0026067743302132886,3.0421952480910223e-5,279.25924707496523,16,1,8522
1946-046,13,7.19044922521181e-4,2.9773424241522017e-5,5524.003573237387,55,1,8522
1946-047,8,8.16116338966722e-4,2.943947244465379e-5,4232.203309370353,123,1,8522
1946-048,14,0.02224377812334555,3.3114775812967744e-5,2097.664129823212,125,1,8522
1946-049,76,0.232391708996545,3.788165770134101e-5,17466.911554357637,60,1,8522
1946-050,71,0.28533015623538904,3.9393342525113254e-5,48255.153225703114,29,1,8522
1946-051,18,0.0367144572479592,3.567351598173516e-5,7871.024012148548,1,1,8522
1946-053,12,0.008741631358427282,3.174300860235533e-5,1209.4661329213632,49,1,8522
1946-054,2,8.381464386061139e-5,2.5215593322910888e-5,0,76,1,8522
1946-055,17,0.011180471197691649,3.3740468317700245e-5,17921.6088996718,1,1,8522
1946-056,13,0.002486233058675883,3.111968631356196e-5,3589.5946383048627,153,1,8522
1946-057,9,0.009359051451474282,3.226743248039754e-5,10518.396756276887,49,1,8522
1946-058,1,1,1,0,215,2,2
1946-060,77,0.06251977629566341,4.0001600064002555e-5,186943.29703782557,49,1,8522
1946-061,30,0.029985985194329597,3.678499172337687e-5,55061.750598167084,49,1,8522
1946-062,28,0.03838967436258412,3.668109456386179e-5,23283.638624069237,49,1,8522
1946-063,16,0.004095596969929738,3.0302112057210386e-5,751.5419416909236,15,1,8522
1946-064,14,9.055622170812166e-4,3.0292015024839456e-5,14458.401811581947,23,1,8522
1946-065,5,0.008192430246147598,3.1835981025755303e-5,1866.782173247277,74,1,8522
1946-066,9,8.57404664586004e-4,2.9521166676507053e-5,3498.365620015096,7,1,8522
1946-067,21,0.0038048595606607724,3.265092891892774e-5,15005.37401306407,36,1,8522
1946-068,26,0.007421784564056543,3.366209984178813e-5,19567.462287886,7,1,8522
1946-069,11,0.0018358853313065067,3.052596233096248e-5,2559.1092920176743,7,1,8522
1946-070,3,1.7752244156687833e-4,2.630194634402946e-5,291.45957694425084,127,1,8522
1946-071,7,0.0012514988389856403,3.027367401307823e-5,9771.697600954107,1,1,8522
1946-072,30,0.1078676904468511,3.6621987841500034e-5,8726.523016672849,29,1,8522
1946-073,10,8.272822752694562e-4,2.9706205626355342e-5,5706.138452424921,9,1,8522
1946-074,12,0.0047299247963341375,3.220093382708099e-5,2495.204086938087,49,1,8522
1946-075,6,0.006016314980563166,3.108776074859327e-5,4484.107966619088,97,1,8522
1946-076,4,1.8089044501299158e-4,2.6466929571500412e-5,235.66132609443284,7,1,8522
1946-077,8,0.012976179282799566,3.250763929523438e-5,1002.9105543437328,49,1,8522
1946-078,6,0.0017519259238564923,2.9313478337339507e-5,3388.676586149693,193,1,8522
